,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,client_wins,host_wins,Previous_相對溼度(%),Previous_降水量(mm),Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_PA,Previous_HOST_3B,Previous_HOST_TB,Previous_HOST_SAC,Previous_HOST_DP,Previous_HOST_PB,Previous_CLIENT_PA,Previous_CLIENT_3B,Stadium
29,4511,0.3712757201646091,2017-04-16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.4633333333333333,0.3333333333333333,75.17,0.0,3,3,3,0,7,44,0,27,0,0,0,42,0,新莊
30,5719,0.28595,2017-04-16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.7142857142857143,0.375,81.0,0.0,0,1,0,2,3,31,0,8,0,0,0,41,0,洲際
31,4409,0.22045,2017-04-18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3125,0.6666666666666666,77.0,0.0,4,0,2,0,9,29,0,12,0,0,0,40,0,桃園
32,3741,0.30790123456790125,2017-04-19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.4552083333333333,0.4117647058823529,91.88,0.08,2,6,1,0,7,34,0,12,1,0,0,33,0,新莊
33,4322,0.2161,2017-04-20,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.2941176470588235,0.6875,75.29,0.02,3,0,2,1,9,39,0,20,0,0,0,35,1,桃園
34,3923,0.322880658436214,2017-04-20,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.4788515406162464,0.3888888888888889,84.08,0.06,2,0,1,2,9,39,0,14,0,0,0,43,0,新莊
35,3039,0.25325,2017-04-21,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.2777777777777778,0.4730820105820105,82.5,0.02,1,0,1,1,5,33,1,19,0,0,0,28,0,台南
36,14112,0.7056,2017-04-22,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.3684210526315789,0.7058823529411765,80.88,1.06,1,1,0,2,7,24,0,6,0,0,0,24,0,桃園
37,4012,0.3343333333333333,2017-04-22,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.2631578947368421,0.4598788638262321,73.17,0.02,0,2,1,1,8,37,0,17,0,0,0,25,0,台南
38,3828,0.1914,2017-04-23,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.3,0.456329365079365,62.79,0.0,1,3,1,0,9,32,0,11,0,0,0,40,0,澄清湖
39,7155,0.35775,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35,0.7222222222222222,87.92,0.4,1,1,1,1,4,28,0,12,0,0,0,37,0,桃園
40,9354,0.4677,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.3809523809523809,0.6842105263157895,62.79,0.0,0,1,0,1,5,30,0,8,1,0,0,42,0,桃園
41,3943,0.32452674897119344,2017-04-25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.4090909090909091,0.3333333333333333,86.83,0.08,2,0,1,1,5,33,0,8,0,0,0,21,0,新莊
42,4748,0.31653333333333333,2017-04-26,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.65,0.4441232048374905,78.21,0.0,1,0,1,1,8,32,2,21,0,0,0,54,2,斗六
43,3056,0.25466666666666665,2017-04-27,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.6666666666666666,0.4322002492457037,78.12,0.0,1,1,0,3,6,26,1,8,0,0,1,38,0,台南
44,4061,0.334238683127572,2017-04-28,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.6818181818181818,0.4090909090909091,79.04,0.0,0,0,0,2,4,23,0,6,1,0,0,34,0,新莊
45,5028,0.419,2017-04-28,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.4782608695652174,0.4303654558002383,51.62,0.0,1,0,0,3,10,22,0,3,0,0,0,40,0,台南
46,6610,0.5440329218106996,2017-04-29,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.6956521739130435,0.391304347826087,61.67,0.0,0,0,2,3,7,30,0,10,0,0,0,45,0,新莊
47,7066,0.3533,2017-04-29,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.5,0.4300471981721981,47.29,0.0,0,2,1,1,0,26,0,13,0,0,0,28,0,洲際
48,6315,0.519753086419753,2017-04-30,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.4166666666666667,58.54,0.0,6,1,0,1,15,37,1,15,0,0,0,47,0,新莊
49,6107,0.30535,2017-04-30,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.52,0.4228453102453101,58.04,0.0,1,1,0,0,9,31,0,12,0,0,1,48,2,洲際
50,2685,0.22098765432098766,2017-05-02,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.4240499777999777,0.44,56.08,0.0,2,1,0,1,2,31,1,7,1,0,0,38,0,新莊
51,3611,0.18055,2017-05-03,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.64,0.5384615384615384,68.25,0.0,2,0,0,1,10,25,0,9,0,0,0,39,0,洲際
52,3092,0.20613333333333334,2017-05-04,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.6538461538461539,0.5185185185185185,73.04,0.0,0,2,0,0,6,20,0,4,0,0,0,39,1,斗六
53,2836,0.2334156378600823,2017-05-04,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.4215719362941585,0.4230769230769231,73.38,0.0,1,3,0,1,11,46,0,15,0,0,0,38,0,新莊
54,6435,0.32175,2017-05-05,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.4074074074074074,0.5357142857142857,84.42,0.0,0,1,1,1,4,37,0,23,0,0,0,36,0,澄清湖
55,7116,0.3558,2017-05-05,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4147575539539824,0.6296296296296297,74.75,0.0,1,1,0,0,2,32,0,9,0,0,0,31,0,桃園
56,11061,0.55305,2017-05-06,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.3928571428571428,0.5517241379310345,86.04,0.0,0,1,2,1,3,32,0,18,0,0,0,30,0,澄清湖
57,13097,0.65485,2017-05-06,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.4142486727831555,0.6428571428571429,70.58,0.0,0,0,4,0,0,35,0,25,0,0,0,21,0,桃園
58,7881,0.39405,2017-05-07,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.4099641932141932,0.6551724137931034,67.46,0.0,0,2,3,0,3,45,0,31,0,0,0,27,0,桃園
59,7707,0.38535,2017-05-07,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.3793103448275862,0.5666666666666667,78.29,0.0,1,2,2,0,2,28,1,19,0,0,0,31,0,澄清湖
60,2801,0.2305349794238683,2017-05-09,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.3666666666666666,69.92,0.0,0,0,3,1,0,38,0,26,0,0,0,27,0,新莊
61,5338,0.35586666666666666,2017-05-10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.5806451612903226,0.4088363160137353,79.04,0.02,0,3,1,1,3,23,0,10,1,0,0,30,0,斗六
62,3072,0.2528395061728395,2017-05-11,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.6451612903225806,0.3870967741935484,69.83,0.0,2,2,2,0,6,42,0,12,0,0,0,53,0,新莊
63,4612,0.38433333333333336,2017-05-11,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.59375,0.4064768478049728,75.12,0.0,2,1,0,0,5,32,0,9,0,0,0,40,0,台南
64,5483,0.45127572016460904,2017-05-12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.5757575757575758,0.375,69.21,0.0,1,1,0,0,6,25,0,4,0,0,0,38,0,新莊
65,4026,0.3355,2017-05-12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.65625,0.4143613877704787,74.04,1.9,2,0,2,0,10,22,1,19,0,0,0,43,0,台南
66,8856,0.7288888888888889,2017-05-13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5882352941176471,0.3636363636363636,68.79,0.0,0,0,0,0,3,25,0,3,0,0,0,30,0,新莊
67,5028,0.419,2017-05-13,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.4142850147737691,84.62,0.4,1,1,0,1,4,26,0,5,0,0,0,37,0,台南
68,3609,0.30075,2017-05-14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.6764705882352942,0.4135594111770582,73.17,0.0,1,0,1,1,2,24,0,8,1,0,0,37,0,台南
69,6766,0.5568724279835391,2017-05-14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.6,0.3529411764705883,72.54,0.0,1,0,2,0,7,28,1,15,0,0,0,35,0,新莊
70,4768,0.2384,2017-05-17,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.4211688719776955,0.3714285714285714,68.17,0.0,3,0,1,2,16,38,0,16,0,0,1,50,0,澄清湖
71,5671,0.28355,2017-05-18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5833333333333334,0.6857142857142857,75.18,0.02,1,0,0,3,1,25,0,4,1,0,0,33,0,桃園
72,2976,0.1488,2017-05-18,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.4225719297778121,0.3888888888888889,70.5,0.0,0,0,0,1,4,27,0,6,0,0,0,41,0,澄清湖
73,4476,0.2238,2017-05-19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3783783783783784,0.6944444444444444,76.32,0.0,0,2,0,0,3,26,0,4,0,0,0,35,0,桃園
74,9198,0.4599,2017-05-20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.423553691200139,0.5675675675675675,78.38,0.04,2,0,1,0,3,37,0,16,0,0,0,27,0,洲際
75,12225,0.61125,2017-05-20,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3684210526315789,0.7027027027027027,89.25,0.67,0,2,0,2,10,45,0,18,0,0,0,43,1,桃園
76,3383,0.16915,2017-05-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.4307928876550374,0.5789473684210527,82.33,0.08,1,0,1,1,3,38,0,17,0,0,0,27,0,洲際
77,6021,0.30105,2017-05-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.438078621019217,0.6153846153846154,84.54,0.0,1,0,2,0,3,33,0,12,2,0,0,31,0,洲際
78,8113,0.40565,2017-05-21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.358974358974359,0.7105263157894737,77.71,0.0,1,2,1,0,3,38,0,12,0,0,0,31,0,桃園
79,3287,0.16435,2017-05-23,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.35,0.6,77.71,0.0,2,0,0,0,4,36,0,8,0,0,0,31,0,洲際
80,3789,0.18945,2017-05-25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.4440818382215725,0.717948717948718,81.45,0.1,0,0,2,3,7,51,0,24,0,0,0,36,0,桃園
81,3515,0.17575,2017-05-25,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.3414634146341464,0.6097560975609756,71.5,0.0,1,2,2,0,2,33,0,14,0,0,0,30,0,洲際
82,4018,0.2009,2017-05-26,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.7,0.5952380952380952,88.75,0.08,2,1,0,3,12,36,0,15,0,0,1,40,0,洲際
83,2680,0.134,2017-05-26,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.3571428571428572,0.4443734460039009,71.38,0.0,2,0,2,0,2,42,0,21,0,0,0,27,0,澄清湖
84,11011,0.55055,2017-05-27,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.6829268292682927,0.6046511627906976,73.29,0.0,0,0,0,0,1,30,0,9,0,0,0,24,1,洲際
85,4509,0.22545,2017-05-27,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.3488372093023256,0.4417911178022598,80.17,0.0,1,0,0,1,3,35,0,10,1,0,0,24,0,澄清湖
86,12663,0.63315,2017-05-28,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.6904761904761905,0.5909090909090909,73.67,0.0,1,0,1,1,8,31,0,10,0,0,0,34,0,洲際
87,5026,0.2513,2017-05-28,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.3636363636363636,0.4418441197803332,71.61,0.0,1,0,2,2,5,32,0,14,0,0,0,36,0,澄清湖
88,5323,0.26615,2017-05-31,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.6,0.3777777777777778,77.88,0.0,0,0,0,0,0,33,0,11,0,0,0,24,0,澄清湖
89,3155,0.15775,2017-06-06,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.4416298115462303,0.5869565217391305,74.46,0.04,1,1,1,2,7,30,0,15,0,0,0,41,0,洲際
90,3894,0.1947,2017-06-07,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.391304347826087,0.6744186046511628,74.91,0.0,0,1,2,1,5,43,0,23,0,0,0,34,0,桃園
91,3718,0.1859,2017-06-08,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.3829787234042553,0.6818181818181818,85.43,0.0,0,1,0,0,0,34,0,11,0,0,0,29,0,桃園
92,7369,0.36845,2017-06-09,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4409224441015495,0.6888888888888889,87.58,0.0,0,0,2,0,4,38,0,18,1,0,0,29,0,桃園
93,4256,0.3502880658436214,2017-06-09,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.375,0.5957446808510638,86.17,0.0,0,0,2,1,6,49,0,22,2,0,0,37,0,新莊
94,14121,0.70605,2017-06-10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.4406978273291811,0.6956521739130435,72.83,0.0,1,1,2,0,3,50,0,27,0,0,0,32,0,桃園
95,10642,0.8758847736625515,2017-06-10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.3673469387755102,0.6041666666666666,72.54,0.0,0,2,2,3,6,45,0,26,0,0,0,37,0,新莊
96,12234,0.6117,2017-06-11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.4396687965062,0.7021276595744681,76.92,0.04,0,0,2,0,6,40,1,23,1,0,0,41,0,桃園
97,7428,0.611358024691358,2017-06-11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.36,0.6122448979591837,86.38,0.0,1,3,3,1,3,41,0,13,1,0,0,40,0,新莊
98,3220,0.2683333333333333,2017-06-16,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.62,0.4394724373565265,85.67,0.0,1,1,1,1,4,28,0,13,0,0,0,30,0,台南
99,1367,0.11251028806584362,2017-06-18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.7083333333333334,0.3529411764705883,86.71,0.32,0,2,0,1,0,29,0,10,0,0,0,34,0,新莊
100,3575,0.29791666666666666,2017-06-18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.6470588235294118,0.4391398948143022,86.75,0.91,2,1,0,2,5,27,0,13,0,0,0,29,0,台南
101,3180,0.2617283950617284,2017-06-20,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.6346153846153846,0.3846153846153846,75.96,0.0,1,0,1,0,3,40,0,18,1,0,0,30,0,新莊
102,3488,0.1744,2017-06-20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4386992432819956,0.7346938775510204,92.33,0.9,0,1,0,1,1,19,0,0,2,0,0,20,0,桃園
103,10105,0.50525,2017-06-21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6415094339622641,0.74,64.54,0.0,4,1,0,1,18,34,0,12,0,0,0,50,0,桃園
104,2889,0.24075,2017-06-22,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.3773584905660378,0.4387242578342649,77.88,0.0,0,1,1,3,9,36,0,13,0,0,0,44,0,台南
105,3326,0.2771666666666667,2017-06-23,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.7254901960784313,0.4406060933177984,72.17,0.0,1,0,1,1,9,30,0,13,0,0,0,35,0,台南
106,3480,0.6327272727272727,2017-06-24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.4402814790540785,0.3888888888888889,80.46,0.0,1,0,2,1,4,39,0,9,0,0,0,48,0,花蓮
