,BOX_OFFICE,GAME_NO,DATE,STADIUM,HOST_LAMIGOÊ°ÉÁåø,HOST_‰∏≠‰ø°?ÑÂ?,HOST_ÂØåÈÇ¶?çÂ?,HOST_Áµ±‰?7-ELEVEn??CLIENT_LAMIGOÊ°ÉÁåø,CLIENT_‰∏≠‰ø°?ÑÂ?,CLIENT_ÂØåÈÇ¶?çÂ?,CLIENT_Áµ±‰?7-ELEVEn???∞Â?,?âÁæ©Â∏?Â§©Ê?,?óÂÖ≠,?∞Ë?,Ê°ÉÂ?,Ê¥≤È?,ÊæÑÊ?Êπ??±ËìÆ,Fri,Sat,Sun,Thu,Tue,Wed,Ê∞?∫´(??,?∏Â?Ê∫ºÂ∫¶(%),?çÊ∞¥??mm),CLIENT_HR,CLIENT_ERR,HOST_HR,HOST_ERR,CLIENT_SCORE,HOST_SCORE,TIME,HOST_PA,HOST_AB,HOST_H,HOST_2B,HOST_3B,HOST_TB,HOST_SO,HOST_SB,HOST_CS_1,HOST_SAC,HOST_SF,HOST_BB,HOST_IBB,HOST_HBP,HOST_GIDP,HOST_LOB,HOST_PO,HOST_A,HOST_DP,HOST_TP.1,HOST_E,HOST_CS_2,HOST_PB,CLIENT_PA,CLIENT_AB,CLIENT_H,CLIENT_2B,CLIENT_3B,CLIENT_TB,CLIENT_SO,CLIENT_SB,CLIENT_CS_1,CLIENT_SAC,CLIENT_SF,CLIENT_BB,CLIENT_IBB,CLIENT_HBP,CLIENT_GIDP,CLIENT_LOB,CLIENT_PO,CLIENT_A,CLIENT_DP,CLIENT_TP.1,CLIENT_E,CLIENT_CS_2,CLIENT_PB,HOST_BF,HOST_NP_1,HOST_ER,HOST_AO,HOST_GO,HOST_NBB,HOST_BS,HOST_S,HOST_WP,HOST_BK,HOST_PO.1,HOST_A.1,HOST_DP.1,HOST_TP,HOST_E.1,HOST_PK,CLIENT_BF,CLIENT_NP_1,CLIENT_ER,CLIENT_AO,CLIENT_GO,CLIENT_NBB,CLIENT_BS,CLIENT_S,CLIENT_WP,CLIENT_BK,CLIENT_PO.1,CLIENT_A.1,CLIENT_DP.1,CLIENT_TP,CLIENT_E.1,CLIENT_PK
10,11315,12,2017/4/2,Ê°ÉÂ?,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16.25,49.92,0,2,1,3,0,5,6,211,37,31,7,1,0,17,7,0,0,0,0,6,0,0,1,7,0,0,0,0,0,0,1,25,24,8,0,0,14,6,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,38,169,4,7,7,2,7,93,1,0,0,0,0,0,1,2,37,154,6,10,7,0,2,92,2,0,0,0
11,5272,8,2017/4/2,Ê°ÉÂ?,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16.25,49.92,0,0,0,3,0,4,5,183,31,29,8,2,0,19,3,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,28,24,9,0,0,9,4,2,0,0,1,3,0,0,0,8,0,0,0,0,0,0,0,43,151,4,14,9,0,1,99,0,0,0,0,0,0,0,0,35,138,5,10,11,0,2,90,0,0,0,0
12,4681,9,2017/4/2,?∞Ë?,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17.28,43.33,0,0,2,1,0,7,4,221,42,34,7,2,0,12,6,2,0,0,0,5,0,3,2,11,0,0,0,0,0,0,0,38,31,9,0,1,11,6,1,1,0,1,3,0,3,0,7,0,0,0,0,0,1,0,41,146,7,8,12,0,2,83,0,0,0,0,0,0,0,0,42,173,3,11,10,0,0,105,1,0,0,0
13,8188,14,2017/4/4,?∞Â?,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.49,59.71,0,0,1,1,3,5,9,194,40,35,10,3,0,16,6,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,26,26,6,2,0,8,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,151,4,9,10,0,0,113,1,0,0,0,0,0,0,0,40,155,8,12,7,0,0,89,0,0,0,0
14,5093,15,2017/4/5,Ê°ÉÂ?,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21.18,67.12,0,2,3,1,0,7,8,263,43,35,12,3,0,18,6,2,0,1,1,4,2,0,0,13,0,0,0,0,0,0,0,48,41,12,3,0,21,9,0,1,0,0,4,1,2,0,11,0,0,0,0,0,1,0,48,209,7,9,11,1,8,110,1,0,0,1,1,0,2,1,49,166,6,12,12,0,0,97,1,0,0,0
15,3156,16,2017/4/6,?∞Â?,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.07,63.21,0,0,0,3,1,4,6,197,32,27,6,0,0,12,5,1,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,21,15,2,0,0,2,3,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,41,163,3,12,11,0,0,101,0,0,0,0,0,0,0,0,36,131,6,12,5,0,1,73,1,0,0,0
16,4369,17,2017/4/6,Ê°ÉÂ?,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.07,76.83,0,2,2,0,1,3,4,189,35,31,8,3,0,11,5,1,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,38,34,7,1,0,14,7,1,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,38,134,3,16,4,0,0,85,1,0,0,0,0,0,0,0,35,125,1,6,13,0,0,78,0,0,0,0
17,3326,18,2017/4/7,?∞Â?,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.23,74.38,0,0,0,0,0,4,1,199,33,30,6,1,0,7,4,1,1,0,0,2,0,1,1,6,0,0,0,0,0,1,1,41,33,10,0,0,10,5,4,0,1,1,6,0,0,0,11,0,0,0,0,0,0,0,42,159,4,9,12,0,0,94,0,0,0,0,0,0,0,0,34,138,1,11,10,0,0,82,0,0,0,0
18,3917,19,2017/4/7,?∞Ë?,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,24.3,76.96,0,4,2,1,0,9,4,221,28,25,9,2,0,11,5,0,1,0,1,1,0,1,0,7,0,0,0,0,0,1,0,44,38,13,3,0,28,3,3,1,0,0,6,0,0,0,8,0,0,0,0,0,1,0,44,153,9,15,7,0,2,87,0,0,0,0,0,0,0,0,41,157,3,6,12,0,0,98,0,0,0,0
19,5539,20,2017/4/8,?∞Â?,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.18,74.79,0,0,1,1,1,4,5,275,52,43,10,3,0,16,6,1,0,1,0,8,0,0,1,14,0,0,0,0,0,0,0,50,44,11,3,0,14,12,1,2,0,1,5,0,0,1,10,0,0,0,0,0,2,0,50,195,4,9,13,0,0,128,0,0,0,0,0,0,0,0,54,205,5,10,18,0.2,3,106,0,1,1,0
20,9169,21,2017/4/8,?∞Ë?,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.35,76.33,0,2,0,1,0,9,7,210,31,29,11,2,0,16,6,1,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,42,36,15,5,0,26,10,1,2,1,0,3,0,2,2,6,0,0,0,0,0,2,0,42,155,9,8,4,0,0,90,0,0,0,0,0,0,0,0,42,156,7,6,11,0,0,101,2,0,0,0
21,5815,23,2017/4/9,?∞Ë?,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.81,74.5,0,2,1,0,0,5,6,218,33,27,7,2,0,9,3,0,0,1,0,3,0,2,0,8,0,0,0,0,0,0,0,40,36,10,1,0,17,6,0,0,0,0,4,0,0,1,8,0,0,0,0,0,0,0,40,149,5,8,12,0,0,92,0,0,0,0,0,0,0,0,42,157,4,12,10,0,0,94,2,0,0,0
22,5068,22,2017/4/9,ÊæÑÊ?Êπ?0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26.37,75.25,0,0,2,1,1,3,5,195,28,26,5,0,0,8,4,1,1,0,0,2,0,0,2,5,0,0,0,0,0,1,0,32,27,7,4,0,11,3,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,1,36,132,3,17,5,0,0,80,0,0,0,0,0,0,0,0,36,134,4,6,11,0,0,76,0,0,0,0,0
23,3706,24,2017/4/11,ÊæÑÊ?Êπ?0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27.82,71.21,0,1,0,0,0,10,2,200,31,28,6,1,0,7,4,1,1,0,0,3,0,0,0,5,0,0,0,0,0,1,0,41,36,11,3,0,17,12,1,1,0,1,3,0,1,0,4,0,0,0,0,0,1,0,41,151,10,6,8,0,0,103,0,0,0,0,0,0,0,0,36,132,2,8,12,0,0,82,0,0,0,0,0
24,2852,25,2017/4/12,?∞Ë?,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.27,80.12,0.56,2,0,0,0,6,3,168,28,28,8,3,0,11,8,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,36,34,7,2,0,15,5,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,36,130,6,10,12,0,0,90,0,0,0,0,0,0,0,0,36,145,3,5,9,0,0,94,3,0,0,0
25,5090,26,2017/4/13,?≤Ê?,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17.83,95.29,1.04,0,1,1,0,3,4,204,36,33,8,0,0,11,10,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,37,35,8,3,1,13,10,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,37,140,3,11,8,0,1,92,0,0,0,0,0,0,0,0,41,154,3,5,14,0,0,98,0,0,0,0
26,3787,27,2017/4/14,Ê¥≤È?,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23.23,82.58,0,0,1,2,1,4,5,193,35,33,12,0,0,18,9,2,1,0,1,1,0,0,0,6,0,0,0,0,0,1,0,37,32,7,1,0,8,7,2,2,1,1,1,1,1,0,6,0,0,0,0,0,2,0,37,138,3,7,13,0,0,91,1,0,0,0,0,0,0,0,35,135,5,7,6,0,0,86,0,0,0,0
27,3102,28,2017/4/14,?∞Ë?,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21.88,82.46,0,1,1,2,0,6,17,219,30,28,14,1,0,21,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,30,27,9,2,0,11,5,1,1,0,1,2,0,0,0,5,0,0,0,0,0,1,0,40,155,6,12,7,0,0,104,2,0,0,0,0,0,0,0,47,153,17,10,8,0,0,101,0,0,0,0
28,10012,29,2017/4/15,Ê¥≤È?,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.04,78.75,0,0,1,0,0,4,2,200,40,35,10,0,0,10,5,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,36,34,9,1,2,14,11,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,37,138,4,6,10,0,0,91,0,0,0,0,0,0,0,0,40,149,0,15,5,0,0,92,3,0,0,0
29,5245,30,2017/4/15,?∞Ë?,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24.38,81,0,0,1,0,2,3,4,259,31,26,7,1,0,8,6,0,0,0,0,4,1,0,0,11,0,0,0,0,0,0,0,41,31,8,0,0,8,2,1,1,1,0,9,0,0,0,14,0,0,0,0,0,1,0,46,178,3,11,13,0,0,105,0,0,0,0,0,0,0,0,44,185,4,7,9,0,1,119,1,0,0,0
30,5719,31,2017/4/16,Ê¥≤È?,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26.53,75.17,0,3,3,3,0,7,11,226,44,41,18,0,0,27,3,4,1,0,0,2,0,1,1,9,0,0,0,0,0,1,0,42,38,12,1,0,22,6,3,0,0,0,3,0,1,1,8,0,0,0,0,0,0,0,42,150,7,11,9,0,0,95,1,0,0,0,0,0,0,0,44,157,8,10,10,2.1,10,83,2,3,1,0
31,4511,32,2017/4/16,?∞Ë?,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.96,77,0,4,0,2,0,9,7,228,29,24,7,2,0,12,7,2,0,0,1,2,0,2,0,5,0,0,0,0,0,0,0,40,36,11,3,0,23,7,1,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,46,171,9,11,10,0,1,106,1,0,0,0,0,0,0,0,43,167,7,11,8,0,0,108,0,0,0,0
32,4409,33,2017/4/18,Ê°ÉÂ?,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24.63,91.88,0.08,2,6,1,0,7,10,219,34,32,10,2,0,12,5,0,1,1,0,1,0,0,0,6,0,0,0,0,0,1,0,33,30,11,0,0,14,8,2,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,42,159,7,7,9,0,0,100,0,0,0,0,0,0,0,0,40,149,5,6,13,0,0,99,0,0,0,0
33,3741,34,2017/4/19,?∞Ë?,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25.99,84.08,0.06,2,0,1,2,9,4,227,39,34,8,3,0,14,8,0,0,0,0,3,0,2,0,8,0,0,0,0,0,0,0,43,34,6,0,0,12,3,1,0,0,0,7,0,2,1,9,0,0,0,0,0,0,0,46,162,4,12,13,0,0,85,0,0,0,0,0,0,0,0,39,155,4,12,6,0,0,93,1,0,0,0
34,3923,36,2017/4/20,?∞Ë?,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,26.35,75.29,0.02,3,0,2,1,9,7,232,39,35,10,4,0,20,5,0,1,0,0,4,0,0,1,5,0,0,0,0,0,1,0,35,30,10,4,1,19,7,0,1,1,0,3,0,1,0,8,0,0,0,0,0,1,0,45,193,9,2,15,0,0,119,1,0,0,0,0,0,0,0,39,141,7,9,11,0,0,86,1,0,0,0
35,4322,35,2017/4/20,Ê°ÉÂ?,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.42,82.5,0.02,1,0,1,1,5,8,190,33,29,10,4,1,19,4,0,1,0,0,4,0,0,1,6,0,0,0,0,0,1,0,28,26,7,1,0,11,8,2,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,39,146,4,11,7,1,6,88,1,3,3,0,0,1,2,0,39,140,8,9,9,0,0,82,1,0,0,0
36,3039,38,2017/4/21,?∞Â?,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27.66,73.17,0.02,0,2,1,1,8,9,206,37,31,12,2,0,17,5,0,0,0,0,6,0,0,1,7,0,0,0,0,0,0,0,25,20,7,2,0,9,3,0,0,1,2,2,0,0,2,4,0,0,0,0,0,0,0,42,145,6,11,10,0,0,91,1,0,0,0,0,0,0,0,42,158,6,11,5,0,2,91,2,1,0,0
37,4012,40,2017/4/22,?∞Â?,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.66,80.88,1.06,1,1,0,2,7,0,172,24,24,4,2,0,6,7,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,24,23,3,0,0,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,135,6,8,9,0,0,90,0,0,0,0,0,0,0,0,31,134,0,7,9,0,0,93,0,0,0,0
