,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
35,3039,0.25325,2017-04-21,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,5,8,190,10,4,0,4,7,8,2,1,台南
36,14112,0.7056,2017-04-22,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,7,0,172,4,7,0,0,3,7,0,0,桃園
37,4012,0.3343333333333333,2017-04-22,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,8,9,206,12,5,0,6,7,3,0,2,台南
38,3828,0.1914,2017-04-23,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,1,0,9,8,234,6,4,0,7,13,8,0,1,澄清湖
39,7155,0.35775,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,4,6,187,8,5,0,3,7,5,0,3,桃園
40,9354,0.4677,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,5,4,186,6,6,0,0,11,9,1,4,桃園
41,3943,0.32452674897119344,2017-04-25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,5,4,214,7,4,0,4,5,4,1,3,新莊
42,4748,0.31653333333333333,2017-04-26,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,8,8,285,12,7,0,1,16,8,3,3,斗六
43,3056,0.25466666666666665,2017-04-27,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,3,6,2,200,5,7,0,1,11,6,1,2,台南
44,4061,0.334238683127572,2017-04-28,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,214,6,7,0,1,9,3,0,4,新莊
45,5028,0.419,2017-04-28,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,10,0,164,3,8,0,0,12,6,0,4,台南
46,6610,0.5440329218106996,2017-04-29,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,3,7,4,219,7,8,1,1,10,4,2,7,新莊
47,7066,0.3533,2017-04-29,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,4,189,8,2,0,3,6,10,0,0,洲際
48,6315,0.519753086419753,2017-04-30,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,1,0,1,15,3,196,13,4,0,2,21,4,1,2,新莊
49,6107,0.30535,2017-04-30,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,9,2,208,10,3,0,2,15,6,3,5,洲際
50,2685,0.22098765432098766,2017-05-02,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,2,3,242,5,6,1,4,5,8,0,2,新莊
51,3611,0.18055,2017-05-03,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,10,1,197,8,3,0,1,12,5,3,6,洲際
52,3092,0.20613333333333334,2017-05-04,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,191,4,3,0,2,13,10,1,4,斗六
53,2836,0.2334156378600823,2017-05-04,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,11,7,253,9,4,6,5,10,5,0,8,新莊
54,6435,0.32175,2017-05-05,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,4,13,218,13,4,0,5,5,19,0,5,澄清湖
55,7116,0.3558,2017-05-05,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,3,161,7,7,0,1,8,6,1,1,桃園
56,11061,0.55305,2017-05-06,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,3,8,198,10,8,2,1,5,5,2,2,澄清湖
57,13097,0.65485,2017-05-06,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,6,147,11,6,1,2,3,4,0,4,桃園
58,7881,0.39405,2017-05-07,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,3,14,175,17,4,0,4,5,3,0,1,桃園
59,7707,0.38535,2017-05-07,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,2,5,196,10,7,0,1,5,14,1,2,澄清湖
60,2801,0.2305349794238683,2017-05-09,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,8,162,13,5,2,3,2,3,0,3,新莊
61,5338,0.35586666666666666,2017-05-10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,1,3,4,169,6,3,1,0,6,8,1,4,斗六
62,3072,0.2528395061728395,2017-05-11,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,2,0,6,7,294,8,13,0,4,13,6,2,4,新莊
63,4612,0.38433333333333336,2017-05-11,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,5,4,198,8,3,0,2,10,4,0,3,台南
64,5483,0.45127572016460904,2017-05-12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,6,1,198,4,7,0,2,12,10,0,4,新莊
65,4026,0.3355,2017-05-12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,2,0,10,7,220,10,2,0,3,14,6,4,5,台南
66,8856,0.7288888888888889,2017-05-13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,180,3,14,0,0,9,5,1,1,新莊
67,5028,0.419,2017-05-13,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,4,1,168,5,6,0,0,5,7,0,8,台南
68,3609,0.30075,2017-05-14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,3,190,5,5,0,2,7,8,1,6,台南
69,6766,0.5568724279835391,2017-05-14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,3,196,7,7,2,3,12,3,1,1,新莊
70,4768,0.2384,2017-05-17,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,2,16,9,254,10,10,0,4,26,4,0,2,澄清湖
71,5671,0.28355,2017-05-18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,2,168,4,3,0,3,5,7,0,1,桃園
72,2976,0.1488,2017-05-18,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,5,207,6,7,0,3,8,16,0,5,澄清湖
