"","GAME_NO","DATE","STADIUM","DAY","HOST","CLIENT","CLIENT_HR","CLIENT_ERR","HOST_HR","HOST_ERR","CLIENT_SCORE","HOST_SCORE","TIME","HOST_PA","HOST_AB","HOST_H","HOST_2B","HOST_3B","HOST_TB","HOST_SO","HOST_SB","HOST_CS_1","HOST_SAC","HOST_SF","HOST_BB","HOST_IBB","HOST_HBP","HOST_GIDP","HOST_LOB","HOST_PO","HOST_A","HOST_DP","HOST_TP.1","HOST_E","HOST_CS_2","HOST_PB","CLIENT_PA","CLIENT_AB","CLIENT_H","CLIENT_2B","CLIENT_3B","CLIENT_TB","CLIENT_SO","CLIENT_SB","CLIENT_CS_1","CLIENT_SAC","CLIENT_SF","CLIENT_BB","CLIENT_IBB","CLIENT_HBP","CLIENT_GIDP","CLIENT_LOB","CLIENT_PO","CLIENT_A","CLIENT_DP","CLIENT_TP.1","CLIENT_E","CLIENT_CS_2","CLIENT_PB","HOST_BF","HOST_NP_1","HOST_ER","HOST_AO","HOST_GO","HOST_NBB","HOST_BS","HOST_S","HOST_WP","HOST_BK","HOST_PO.1","HOST_A.1","HOST_DP.1","HOST_TP","HOST_E.1","HOST_PK","CLIENT_BF","CLIENT_NP_1","CLIENT_ER","CLIENT_AO","CLIENT_GO","CLIENT_NBB","CLIENT_BS","CLIENT_S","CLIENT_WP","CLIENT_BK","CLIENT_PO.1","CLIENT_A.1","CLIENT_DP.1","CLIENT_TP","CLIENT_E.1","CLIENT_PK","氣溫(℃)","相對溼度(%)","降水量(mm)","BOX_OFFICE"
"13",9,42827,"新莊","Sun","中信兄弟","統一7-ELEVEn獅",0,2,1,0,7,4,221,42,34,7,2,0,12,6,2,0,0,0,5,0,3,2,11,0,0,0,0,0,0,0,38,31,9,0,1,11,6,1,1,0,1,3,0,3,0,7,0,0,0,0,0,1,0,41,146,7,8,12,0,2,83,0,0,0,0,0,0,0,0,42,173,3,11,10,0,0,105,1,0,0,0,0,0,0,0,17.28,43.33,0,4681
"14",14,42829,"台南","Tue","統一7-ELEVEn獅","富邦悍將",0,1,1,3,5,9,194,40,35,10,3,0,16,6,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,26,26,6,2,0,8,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,151,4,9,10,0,0,113,1,0,0,0,0,0,0,0,40,155,8,12,7,0,0,89,0,0,0,0,0,0,0,0,22.49,59.71,0,8188
"15",15,42830,"桃園","Wed","LAMIGO桃猿","中信兄弟",2,3,1,0,7,8,263,43,35,12,3,0,18,6,2,0,1,1,4,2,0,0,13,0,0,0,0,0,0,0,48,41,12,3,0,21,9,0,1,0,0,4,1,2,0,11,0,0,0,0,0,1,0,48,209,7,9,11,1,8,110,1,0,0,1,1,0,2,1,49,166,6,12,12,0,0,97,1,0,0,0,0,0,0,0,21.18,67.12,0,5093
"16",16,42831,"台南","Thu","統一7-ELEVEn獅","富邦悍將",0,0,3,1,4,6,197,32,27,6,0,0,12,5,1,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,21,15,2,0,0,2,3,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,41,163,3,12,11,0,0,101,0,0,0,0,0,0,0,0,36,131,6,12,5,0,1,73,1,0,0,0,0,0,0,0,25.07,63.21,0,3156
"17",17,42831,"桃園","Thu","LAMIGO桃猿","中信兄弟",2,2,0,1,3,4,189,35,31,8,3,0,11,5,1,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,38,34,7,1,0,14,7,1,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,38,134,3,16,4,0,0,85,1,0,0,0,0,0,0,0,35,125,1,6,13,0,0,78,0,0,0,0,0,0,0,0,22.07,76.83,0,4369
"18",18,42832,"台南","Fri","統一7-ELEVEn獅","LAMIGO桃猿",0,0,0,0,4,1,199,33,30,6,1,0,7,4,1,1,0,0,2,0,1,1,6,0,0,0,0,0,1,1,41,33,10,0,0,10,5,4,0,1,1,6,0,0,0,11,0,0,0,0,0,0,0,42,159,4,9,12,0,0,94,0,0,0,0,0,0,0,0,34,138,1,11,10,0,0,82,0,0,0,0,0,0,0,0,25.23,74.38,0,3326
"19",19,42832,"新莊","Fri","富邦悍將","中信兄弟",4,2,1,0,9,4,221,28,25,9,2,0,11,5,0,1,0,1,1,0,1,0,7,0,0,0,0,0,1,0,44,38,13,3,0,28,3,3,1,0,0,6,0,0,0,8,0,0,0,0,0,1,0,44,153,9,15,7,0,2,87,0,0,0,0,0,0,0,0,41,157,3,6,12,0,0,98,0,0,0,0,0,0,0,0,24.3,76.96,0,3917
"20",20,42833,"台南","Sat","統一7-ELEVEn獅","LAMIGO桃猿",0,1,1,1,4,5,275,52,43,10,3,0,16,6,1,0,1,0,8,0,0,1,14,0,0,0,0,0,0,0,50,44,11,3,0,14,12,1,2,0,1,5,0,0,1,10,0,0,0,0,0,2,0,50,195,4,9,13,0,0,128,0,0,0,0,0,0,0,0,54,205,5,10,18,0.2,3,106,0,1,1,0,0,0,0,1,26.18,74.79,0,5539
"21",21,42833,"新莊","Sat","富邦悍將","中信兄弟",2,0,1,0,9,7,210,31,29,11,2,0,16,6,1,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,42,36,15,5,0,26,10,1,2,1,0,3,0,2,2,6,0,0,0,0,0,2,0,42,155,9,8,4,0,0,90,0,0,0,0,0,0,0,0,42,156,7,6,11,0,0,101,2,0,0,0,0,0,0,0,25.35,76.33,0,9169
"22",23,42834,"新莊","Sun","富邦悍將","中信兄弟",2,1,0,0,5,6,218,33,27,7,2,0,9,3,0,0,1,0,3,0,2,0,8,0,0,0,0,0,0,0,40,36,10,1,0,17,6,0,0,0,0,4,0,0,1,8,0,0,0,0,0,0,0,40,149,5,8,12,0,0,92,0,0,0,0,0,0,0,0,42,157,4,12,10,0,0,94,2,0,0,0,0,0,0,0,26.81,74.5,0,5815
"23",22,42834,"澄清湖","Sun","統一7-ELEVEn獅","LAMIGO桃猿",0,2,1,1,3,5,195,28,26,5,0,0,8,4,1,1,0,0,2,0,0,2,5,0,0,0,0,0,1,0,32,27,7,4,0,11,3,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,1,36,132,3,17,5,0,0,80,0,0,0,0,0,0,0,0,36,134,4,6,11,0,0,76,0,0,0,0,0,0,0,0,26.37,75.25,0,5068
"24",24,42836,"澄清湖","Tue","統一7-ELEVEn獅","中信兄弟",1,0,0,0,10,2,200,31,28,6,1,0,7,4,1,1,0,0,3,0,0,0,5,0,0,0,0,0,1,0,41,36,11,3,0,17,12,1,1,0,1,3,0,1,0,4,0,0,0,0,0,1,0,41,151,10,6,8,0,0,103,0,0,0,0,0,0,0,0,36,132,2,8,12,0,0,82,0,0,0,0,0,0,0,0,27.82,71.21,0,3706
"25",25,42837,"新莊","Wed","富邦悍將","LAMIGO桃猿",2,0,0,0,6,3,168,28,28,8,3,0,11,8,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,36,34,7,2,0,15,5,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,36,130,6,10,12,0,0,90,0,0,0,0,0,0,0,0,36,145,3,5,9,0,0,94,3,0,0,0,0,0,0,0,18.27,80.12,0.56,2852
"26",26,42838,"雲林","Thu","統一7-ELEVEn獅","中信兄弟",0,1,1,0,3,4,204,36,33,8,0,0,11,10,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,37,35,8,3,1,13,10,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,37,140,3,11,8,0,1,92,0,0,0,0,0,0,0,0,41,154,3,5,14,0,0,98,0,0,0,0,0,0,0,0,17.83,95.29,1.04,5090
"27",27,42839,"洲際","Fri","中信兄弟","LAMIGO桃猿",0,1,2,1,4,5,193,35,33,12,0,0,18,9,2,1,0,1,1,0,0,0,6,0,0,0,0,0,1,0,37,32,7,1,0,8,7,2,2,1,1,1,1,1,0,6,0,0,0,0,0,2,0,37,138,3,7,13,0,0,91,1,0,0,0,0,0,0,0,35,135,5,7,6,0,0,86,0,0,0,0,0,0,0,0,23.23,82.58,0,3787
"28",28,42839,"新莊","Fri","富邦悍將","統一7-ELEVEn獅",1,1,2,0,6,17,219,30,28,14,1,0,21,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,30,27,9,2,0,11,5,1,1,0,1,2,0,0,0,5,0,0,0,0,0,1,0,40,155,6,12,7,0,0,104,2,0,0,0,0,0,0,0,47,153,17,10,8,0,0,101,0,0,0,0,0,0,0,0,21.88,82.46,0,3102
"29",29,42840,"洲際","Sat","中信兄弟","LAMIGO桃猿",0,1,0,0,4,2,200,40,35,10,0,0,10,5,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,36,34,9,1,2,14,11,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,37,138,4,6,10,0,0,91,0,0,0,0,0,0,0,0,40,149,0,15,5,0,0,92,3,0,0,0,0,0,0,0,25.04,78.75,0,10012
"30",30,42840,"新莊","Sat","富邦悍將","統一7-ELEVEn獅",0,1,0,2,3,4,259,31,26,7,1,0,8,6,0,0,0,0,4,1,0,0,11,0,0,0,0,0,0,0,41,31,8,0,0,8,2,1,1,1,0,9,0,0,0,14,0,0,0,0,0,1,0,46,178,3,11,13,0,0,105,0,0,0,0,0,0,0,0,44,185,4,7,9,0,1,119,1,0,0,0,0,0,0,0,24.38,81,0,5245
"31",31,42841,"洲際","Sun","中信兄弟","LAMIGO桃猿",3,3,3,0,7,11,226,44,41,18,0,0,27,3,4,1,0,0,2,0,1,1,9,0,0,0,0,0,1,0,42,38,12,1,0,22,6,3,0,0,0,3,0,1,1,8,0,0,0,0,0,0,0,42,150,7,11,9,0,0,95,1,0,0,0,0,0,0,0,44,157,8,10,10,2.1,10,83,2,3,1,0,0,0,2,3,26.53,75.17,0,5719
"32",32,42841,"新莊","Sun","富邦悍將","統一7-ELEVEn獅",4,0,2,0,9,7,228,29,24,7,2,0,12,7,2,0,0,1,2,0,2,0,5,0,0,0,0,0,0,0,40,36,11,3,0,23,7,1,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,46,171,9,11,10,0,1,106,1,0,0,0,0,0,0,0,43,167,7,11,8,0,0,108,0,0,0,0,0,0,0,0,25.96,77,0,4511
"33",33,42843,"桃園","Tue","LAMIGO桃猿","富邦悍將",2,6,1,0,7,10,219,34,32,10,2,0,12,5,0,1,1,0,1,0,0,0,6,0,0,0,0,0,1,0,33,30,11,0,0,14,8,2,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,42,159,7,7,9,0,0,100,0,0,0,0,0,0,0,0,40,149,5,6,13,0,0,99,0,0,0,0,0,0,0,0,24.63,91.88,0.08,4409
"34",34,42844,"新莊","Wed","中信兄弟","統一7-ELEVEn獅",2,0,1,2,9,4,227,39,34,8,3,0,14,8,0,0,0,0,3,0,2,0,8,0,0,0,0,0,0,0,43,34,6,0,0,12,3,1,0,0,0,7,0,2,1,9,0,0,0,0,0,0,0,46,162,4,12,13,0,0,85,0,0,0,0,0,0,0,0,39,155,4,12,6,0,0,93,1,0,0,0,0,0,0,0,25.99,84.08,0.06,3741
"35",36,42845,"新莊","Thu","中信兄弟","統一7-ELEVEn獅",3,0,2,1,9,7,232,39,35,10,4,0,20,5,0,1,0,0,4,0,0,1,5,0,0,0,0,0,1,0,35,30,10,4,1,19,7,0,1,1,0,3,0,1,0,8,0,0,0,0,0,1,0,45,193,9,2,15,0,0,119,1,0,0,0,0,0,0,0,39,141,7,9,11,0,0,86,1,0,0,0,0,0,0,0,26.35,75.29,0.02,3923
"36",35,42845,"桃園","Thu","LAMIGO桃猿","富邦悍將",1,0,1,1,5,8,190,33,29,10,4,1,19,4,0,1,0,0,4,0,0,1,6,0,0,0,0,0,1,0,28,26,7,1,0,11,8,2,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,39,146,4,11,7,1,6,88,1,3,3,0,0,1,2,0,39,140,8,9,9,0,0,82,1,0,0,0,0,0,0,0,24.42,82.5,0.02,4322
"37",38,42846,"台南","Fri","統一7-ELEVEn獅","富邦悍將",0,2,1,1,8,9,206,37,31,12,2,0,17,5,0,0,0,0,6,0,0,1,7,0,0,0,0,0,0,0,25,20,7,2,0,9,3,0,0,1,2,2,0,0,2,4,0,0,0,0,0,0,0,42,145,6,11,10,0,0,91,1,0,0,0,0,0,0,0,42,158,6,11,5,0,2,91,2,1,0,0,0,0,0,0,27.66,73.17,0.02,3039
"38",40,42847,"台南","Sat","統一7-ELEVEn獅","富邦悍將",1,1,0,2,7,0,172,24,24,4,2,0,6,7,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,24,23,3,0,0,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,135,6,8,9,0,0,90,0,0,0,0,0,0,0,0,31,134,0,7,9,0,0,93,0,0,0,0,0,0,0,0,21.66,80.88,1.06,4012
"39",39,42847,"桃園","Sat","LAMIGO桃猿","中信兄弟",1,1,1,1,4,6,187,28,25,8,1,0,12,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,37,31,7,2,0,12,5,0,0,2,0,3,0,1,2,6,0,0,0,0,0,0,0,37,132,4,7,14,0,0,78,0,0,0,0,0,0,0,0,37,142,6,5,11,0,0,91,1,0,0,0,0,0,0,0,16.68,87.92,0.4,14112
"40",37,42848,"桃園","Sun","LAMIGO桃猿","中信兄弟",0,1,0,1,5,4,186,30,29,6,2,0,8,6,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,42,37,11,2,0,13,9,1,0,1,0,4,0,0,1,10,0,0,0,0,0,0,0,42,148,4,11,7,0,2,95,2,0,0,1,0,0,0,0,35,116,4,4,16,0,0,82,0,0,0,0,0,0,0,0,19.38,62.79,0,7155
"41",41,42848,"桃園","Sun","LAMIGO桃猿","中信兄弟",1,3,1,0,9,8,234,32,23,6,2,0,11,4,0,0,0,0,7,1,1,2,6,0,0,0,0,0,0,0,40,38,13,1,0,17,8,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,40,142,9,6,11,0,2,83,0,0,0,0,0,0,0,0,42,157,7,5,13,0,0,89,1,0,0,0,0,0,0,0,19.38,62.79,0,9354
"42",42,42848,"澄清湖","Sun","統一7-ELEVEn獅","富邦悍將",2,0,1,1,5,4,214,33,29,7,1,0,8,4,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,21,16,5,0,0,8,4,1,0,0,0,3,0,2,2,5,0,0,0,0,0,0,0,43,164,5,6,10,0,0,98,1,0,0,0,0,0,0,0,40,147,4,10,11,0,1,92,2,0,0,0,0,0,0,0,21.65,86.83,0.08,3828
"43",43,42850,"新莊","Tue","富邦悍將","中信兄弟",1,0,1,1,8,8,285,32,31,12,2,2,21,7,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,54,50,16,3,2,26,8,3,1,1,0,3,0,0,1,10,0,0,0,0,0,1,1,54,200,8,16,11,0,0,128,2,0,0,0,0,0,0,0,53,184,8,15,8,0,1,128,0,0,0,0,0,0,0,0,24.02,78.21,0,3943
"44",44,42851,"雲林","Wed","統一7-ELEVEn獅","LAMIGO桃猿",1,1,0,3,6,2,200,26,24,5,1,1,8,7,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,38,36,11,2,0,16,6,1,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,43,158,4,12,10,0,0,104,0,0,0,0,0,0,0,0,33,132,2,10,7,0,0,83,0,0,0,0,0,0,0,0,26.27,78.12,0,4748
"45",46,42852,"台南","Thu","統一7-ELEVEn獅","LAMIGO桃猿",0,0,0,2,4,1,214,23,21,6,0,0,6,7,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,34,28,9,1,0,10,3,0,0,0,1,4,0,1,1,10,0,0,0,0,0,0,0,41,167,2,9,12,0,0,103,1,0,0,0,0,0,0,0,34,132,1,7,10,0,0,90,0,0,0,0,0,0,0,0,22.24,79.04,0,3056
"46",47,42853,"新莊","Fri","富邦悍將","LAMIGO桃猿",1,0,0,3,10,0,164,22,22,3,0,0,3,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,40,35,12,4,0,19,6,0,0,0,0,4,0,1,1,7,0,0,0,0,0,0,0,45,157,6,12,9,0,0,101,1,0,0,0,0,0,0,0,31,113,0,2,13,1,0,79,0,0,0,0,0,0,0,0,19.73,51.62,0,4061
"47",48,42853,"台南","Fri","統一7-ELEVEn獅","中信兄弟",0,0,2,3,7,4,219,30,29,7,0,0,10,8,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,45,35,10,1,0,11,4,2,1,2,0,7,0,1,2,11,0,0,0,0,0,1,0,45,181,6,9,14,0,2,103,0,0,0,0,0,0,0,0,35,146,4,7,9,0,0,90,0,0,0,0,0,0,0,0,21.49,61.67,0,5028
"48",49,42854,"新莊","Sat","富邦悍將","LAMIGO桃猿",0,2,1,1,0,4,189,26,23,8,2,0,13,2,0,0,0,0,3,0,0,2,8,0,0,0,0,0,0,0,28,28,6,1,0,7,10,0,2,0,0,0,0,0,1,4,0,0,0,0,0,2,0,32,117,0,4,8,0,0,84,0,0,0,0,0,0,0,0,38,142,4,4,14,0.2,3,86,0,0,0,0,0,0,0,2,21.6,47.29,0,6610
"49",50,42854,"洲際","Sat","統一7-ELEVEn獅","中信兄弟",1,1,0,0,9,2,208,31,28,10,2,0,12,3,0,0,0,0,2,0,1,2,8,0,0,0,0,0,0,1,48,41,15,2,2,24,6,3,0,0,1,5,0,1,2,12,0,0,0,0,0,0,0,48,183,8,11,10,0,0,110,1,0,0,0,0,0,0,0,37,135,1,8,12,0,0,81,0,0,0,0,0,0,0,0,22.16,58.04,0,7066
"50",52,42855,"洲際","Sun","統一7-ELEVEn獅","中信兄弟",6,1,0,1,15,3,196,37,35,13,0,1,15,4,0,0,0,0,2,0,0,1,12,0,0,0,0,0,0,0,47,45,21,5,0,44,4,1,0,0,0,2,0,0,3,5,0,0,0,0,0,0,0,47,157,14,13,7,0,0,100,0,0,0,0,0,0,0,0,43,151,3,6,14,0,0,93,0,0,0,0,0,0,0,0,23.25,58.54,0,6107
"51",51,42855,"新莊","Sun","富邦悍將","LAMIGO桃猿",2,1,0,1,2,3,242,31,25,5,0,1,7,6,1,0,1,0,4,1,0,0,7,0,0,0,0,0,0,0,38,34,5,0,0,11,8,0,0,0,0,2,1,1,1,7,0,0,0,0,0,0,0,43,180,2,9,14,0,1,115,1,0,0,0,0,0,0,0,45,181,2,7,13,0.2,4,100,2,1,0,0,1,0,0,2,23.67,56.08,0,6315
"52",53,42857,"新莊","Tue","富邦悍將","統一7-ELEVEn獅",2,0,0,1,10,1,197,25,23,8,1,0,9,3,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,39,30,12,1,0,19,5,3,1,1,1,6,0,1,1,7,0,0,0,0,0,1,0,44,171,8,8,8,0,0,100,1,0,0,0,0,0,0,0,37,130,1,7,10,0,0,92,1,0,0,0,0,0,0,0,25.77,68.25,0,2685
"53",54,42858,"洲際","Wed","中信兄弟","LAMIGO桃猿",1,3,0,1,11,7,253,46,38,9,6,0,15,4,6,0,0,0,5,0,3,0,12,0,0,0,0,0,0,0,38,29,10,3,0,16,5,0,0,0,1,8,0,0,3,4,0,0,0,0,0,0,0,43,195,8,7,10,0,2,111,3,0,0,0,0,0,0,0,46,176,3,16,9,0,0,102,0,0,0,0,0,0,0,0,27,73.38,0,3611
"54",55,42859,"新莊","Thu","富邦悍將","統一7-ELEVEn獅",0,2,0,0,6,0,191,20,18,4,0,0,4,3,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,39,34,13,4,1,19,10,1,0,0,0,4,0,1,0,10,0,0,0,0,0,0,0,45,169,6,9,5,0,0,95,2,0,0,0,0,0,0,0,31,113,0,9,13,0,0,77,0,0,0,0,0,0,0,0,27.19,73.04,0,2836
"55",56,42859,"雲林","Thu","中信兄弟","LAMIGO桃猿",1,1,0,0,2,3,161,32,30,7,2,0,9,7,0,1,0,1,1,0,0,0,5,0,0,0,0,0,1,0,31,30,8,3,0,14,6,1,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,35,110,2,4,13,0,0,77,1,0,0,0,0,0,0,0,32,109,3,6,11,1,3,72,1,0,0,0,0,0,1,2,27.05,74.75,0,3092
"56",57,42860,"桃園","Fri","LAMIGO桃猿","統一7-ELEVEn獅",0,1,1,1,4,13,218,37,32,13,7,0,23,4,0,0,0,0,5,0,0,2,6,0,0,0,0,0,0,0,36,31,5,2,0,7,19,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,40,173,3,3,4,0,0,108,1,0,0,0,0,0,0,0,43,161,12,6,11,0,0,96,0,0,0,0,0,0,0,0,25.62,84.42,0,7116
